Offer                                 Publisher         Sku                                                 Urn                                                                                                   Version
secured-lamp-on-centos                cognosys          new-secured-lamp-on-centos-ent-lic                  cognosys:secured-lamp-on-centos:new-secured-lamp-on-centos-ent-lic:1.2.1                              1.2.1
secured-lamp-on-centos                cognosys          new-secured-lamp-on-centos-pro-lic                  cognosys:secured-lamp-on-centos:new-secured-lamp-on-centos-pro-lic:1.2.1                              1.2.1
secured-lamp-on-centos                cognosys          secured-lamp-on-centos                              cognosys:secured-lamp-on-centos:secured-lamp-on-centos:1.0.0                                          1.0.0
secured-lamp-on-centos                cognosys          secured-lamp-on-centos                              cognosys:secured-lamp-on-centos:secured-lamp-on-centos:1.1.1                                          1.1.1
secured-lamp-on-centos                cognosys          secured-lamp-on-centos                              cognosys:secured-lamp-on-centos:secured-lamp-on-centos:1.2.0                                          1.2.0
secured-lamp-on-centos                cognosys          secured-lamp-on-centos                              cognosys:secured-lamp-on-centos:secured-lamp-on-centos:1.2.1                                          1.2.1
secured-lamp-on-centos                cognosys          secured-lamp-on-centos                              cognosys:secured-lamp-on-centos:secured-lamp-on-centos:1.2.2                                          1.2.2
secured-lapp-on-centos                cognosys          secured-lapp-on-centos                              cognosys:secured-lapp-on-centos:secured-lapp-on-centos:1.0.0                                          1.0.0
secured-lapp-on-centos                cognosys          secured-lapp-on-centos                              cognosys:secured-lapp-on-centos:secured-lapp-on-centos:1.1.1                                          1.1.1
secured-lime-survey-on-centos         cognosys          secured-lime-survey-on-centos                       cognosys:secured-lime-survey-on-centos:secured-lime-survey-on-centos:1.1.0                            1.1.0
secured-lime-survey-on-centos         cognosys          secured-lime-survey-on-centos                       cognosys:secured-lime-survey-on-centos:secured-lime-survey-on-centos:1.1.1                            1.1.1
secured-live-helper-chat-on-centos    cognosys          secured-live-helper-chat-on-centos                  cognosys:secured-live-helper-chat-on-centos:secured-live-helper-chat-on-centos:1.1.0                  1.1.0
secured-live-helper-chat-on-centos    cognosys          secured-live-helper-chat-on-centos                  cognosys:secured-live-helper-chat-on-centos:secured-live-helper-chat-on-centos:1.1.1                  1.1.1
secured-magento-on-centos             cognosys          secured-magento-on-centos                           cognosys:secured-magento-on-centos:secured-magento-on-centos:1.1.0                                    1.1.0
secured-mahara-on-centos              cognosys          new-secured-mahara-on-centos-7-3                    cognosys:secured-mahara-on-centos:new-secured-mahara-on-centos-7-3:1.0.2                              1.0.2
secured-mahara-on-centos              cognosys          new-secured-mahara-on-centos-7-3-ent-lic            cognosys:secured-mahara-on-centos:new-secured-mahara-on-centos-7-3-ent-lic:1.2.0                      1.2.0
secured-mahara-on-centos              cognosys          new-secured-mahara-on-centos-7-3-pro-lic            cognosys:secured-mahara-on-centos:new-secured-mahara-on-centos-7-3-pro-lic:1.2.0                      1.2.0
secured-mantis-on-centos              cognosys          secured-mantis-on-centos                            cognosys:secured-mantis-on-centos:secured-mantis-on-centos:1.0.0                                      1.0.0
secured-mantis-on-centos              cognosys          secured-mantis-on-centos                            cognosys:secured-mantis-on-centos:secured-mantis-on-centos:1.1.1                                      1.1.1
secured-mautic-on-centos              cognosys          new-secured-mautic-on-centos-ent-lic                cognosys:secured-mautic-on-centos:new-secured-mautic-on-centos-ent-lic:1.2.0                          1.2.0
secured-mautic-on-centos              cognosys          new-secured-mautic-on-centos-pro-lic                cognosys:secured-mautic-on-centos:new-secured-mautic-on-centos-pro-lic:1.2.0                          1.2.0
secured-mautic-on-centos              cognosys          secured-mautic-on-centos                            cognosys:secured-mautic-on-centos:secured-mautic-on-centos:1.0.3                                      1.0.3
secured-mautic-on-centos              cognosys          secured-mautic-on-centos                            cognosys:secured-mautic-on-centos:secured-mautic-on-centos:1.1.0                                      1.1.0
secured-media-wiki-on-centos          cognosys          new-secured-media-wiki-on-centos-7-3-basic-lic      cognosys:secured-media-wiki-on-centos:new-secured-media-wiki-on-centos-7-3-basic-lic:1.2.0            1.2.0
secured-media-wiki-on-centos          cognosys          new-secured-media-wiki-on-centos-7-3-ent-lic        cognosys:secured-media-wiki-on-centos:new-secured-media-wiki-on-centos-7-3-ent-lic:1.2.0              1.2.0
secured-media-wiki-on-centos          cognosys          new-secured-media-wiki-on-centos-7-3-pro-lic        cognosys:secured-media-wiki-on-centos:new-secured-media-wiki-on-centos-7-3-pro-lic:1.2.0              1.2.0
secured-modx-on-centos                cognosys          secured-modx-on-centos                              cognosys:secured-modx-on-centos:secured-modx-on-centos:1.0.0                                          1.0.0
secured-modx-on-centos                cognosys          secured-modx-on-centos                              cognosys:secured-modx-on-centos:secured-modx-on-centos:1.1.1                                          1.1.1
secured-mongodb-on-centos             cognosys          new-secured-mongodb-centos-7-3                      cognosys:secured-mongodb-on-centos:new-secured-mongodb-centos-7-3:1.2.0                               1.2.0
secured-mongodb-on-centos             cognosys          secured-mongodb-on-centos-ent-lic                   cognosys:secured-mongodb-on-centos:secured-mongodb-on-centos-ent-lic:1.2.0                            1.2.0
secured-mongodb-on-centos             cognosys          secured-mongodb-on-centos-pro-lic                   cognosys:secured-mongodb-on-centos:secured-mongodb-on-centos-pro-lic:1.2.0                            1.2.0
